Source,Target,Weight,Type
Gongora_¡Oh cuán bien que acusa Alcino...!,Gongora_Al tronco de un verde mirto,3,undirected
Gongora_¡Oh cuán bien que acusa Alcino...!,Gongora_En tanto que mis vacas,70,undirected
Gongora_¡Oh cuán bien que acusa Alcino...!,Gongora_En un pastoral albergue,165,undirected
Gongora_¡Oh cuán bien que acusa Alcino...!,Gongora_Escuchadme un rato atentos,76,undirected
Gongora_¡Oh cuán bien que acusa Alcino...!,Gongora_Las aguas de Carrïón,333,undirected
Gongora_¡Oh cuán bien que acusa Alcino...!,Gongora_Que se nos va la pascua, mozas,26,undirected
Gongora_¡Oh cuán bien que acusa Alcino...!,Gongora_Saliéndome estotro día,30,undirected
Gongora_¡Oh cuán bien que acusa Alcino...!,Gongora_Sin Leda y sin esperanza,9,undirected
Gongora_¡Qué necio que era yo antaño...!,Gongora_Ahora que estoy de espacio,23,undirected
Gongora_¡Qué necio que era yo antaño...!,Gongora_Aunque entiendo poco griego,1,undirected
Gongora_¡Qué necio que era yo antaño...!,Gongora_Ave del plumaje negro,1,undirected
Gongora_¡Qué necio que era yo antaño...!,Gongora_De la semilla, caída,33,undirected
Gongora_¡Qué necio que era yo antaño...!,Gongora_Desde Sansueña a París,88,undirected
Gongora_¡Qué necio que era yo antaño...!,Gongora_Diez años vivió Belerma,6,undirected
Gongora_¡Qué necio que era yo antaño...!,Gongora_Ensíllenme el asno rucio,45,undirected
Gongora_¡Qué necio que era yo antaño...!,Gongora_Ilustre ciudad famosa,86,undirected
Gongora_¡Qué necio que era yo antaño...!,Gongora_La cítara que pendiente,57,undirected
Gongora_¡Qué necio que era yo antaño...!,Gongora_La desgracia del forzado,2,undirected
Gongora_¡Qué necio que era yo antaño...!,Gongora_Murmuraban los rocines,359,undirected
Gongora_¡Qué necio que era yo antaño...!,Gongora_Noble desengaño,30,undirected
Gongora_¡Qué necio que era yo antaño...!,Gongora_Por las faldas del Atlante,14,undirected
Gongora_¡Qué necio que era yo antaño...!,Gongora_Tendiendo sus blancos paños,2,undirected
