Autor,Pieza,Gen,Subg,Jornada,Parlamento,Verso,Personaje,Tipo,Sexo,Texto,Slbs,Ambiguo,NuclVoc,Rima,Consonancia,Ritmo
Góngora,Amarrado al duro banco,ø,ø,0,0,1,,,ø,Amarrado al duro banco,8,0,aaAaUoAo,ao,banko,--+-+-+-
Góngora,Amarrado al duro banco,ø,ø,0,0,2,,,ø,"de una galera turquesca,",8,0,UaaEauEa,ea,keska,+--+--+-
Góngora,Amarrado al duro banco,ø,ø,0,0,3,,,ø,ambas manos en el remo,8,0,AaAoeeEo,eo,remo,+-+---+-
Góngora,Amarrado al duro banco,ø,ø,0,0,4,,,ø,"y ambos ojos en la tierra,",8,0,AoOoeaEa,ea,tjera,+-+---+-
Góngora,Amarrado al duro banco,ø,ø,0,0,5,,,ø,un forzado de Dragut,8,0,UoAoeaU,u,gut,+-+---+
Góngora,Amarrado al duro banco,ø,ø,0,0,6,,,ø,en la playa de Marbella,8,0,eaAaeaEa,ea,beʎa,--+---+-
Góngora,Amarrado al duro banco,ø,ø,0,0,7,,,ø,"se quejaba, al ronco son",8,0,eeAaOoO,o,son,--+-+-+
Góngora,Amarrado al duro banco,ø,ø,0,0,8,,,ø,del remo y de la cadena:,8,0,eEeaaEa,ea,dena,-+---+-
Góngora,Amarrado al duro banco,ø,ø,0,0,9,,,ø,"«¡Oh sagrado mar de España,",8,0,OaAoAeAa,aa,paɲa,+-+-+-+-
Góngora,Amarrado al duro banco,ø,ø,0,0,10,,,ø,"famosa playa serena,",8,0,aOaAaeEa,ea,ɾena,-+-+--+-
Góngora,Amarrado al duro banco,ø,ø,0,0,11,,,ø,teatro donde se han hecho,8,1,eAooeAEo,eo,etʃo,-+---++-
Góngora,Amarrado al duro banco,ø,ø,0,0,12,,,ø,cien mil navales tragedias!:,8,0,eIaAeaEa,ea,xedjas,-+-+--+-
Góngora,Amarrado al duro banco,ø,ø,0,0,13,,,ø,pues eres tú el mismo mar,8,0,eEeUIoA,a,maɾ,-+-++-+
Góngora,Amarrado al duro banco,ø,ø,0,0,14,,,ø,que con tus crecientes besas,8,0,eoueEeEa,ea,besas,----+-+-
Góngora,Amarrado al duro banco,ø,ø,0,0,15,,,ø,"las murallas de mi patria,",8,0,auAaeiAa,aa,patɾja,--+---+-
Góngora,Amarrado al duro banco,ø,ø,0,0,16,,,ø,"coronadas y soberbias,",8,0,ooAaoEa,ea,beɾbjas,--+--+-
Góngora,Amarrado al duro banco,ø,ø,0,0,17,,,ø,"tráeme nuevas de mi esposa,",8,0,eeEaeeOa,oa,posa,--+---+-
Góngora,Amarrado al duro banco,ø,ø,0,0,18,,,ø,y dime si han sido ciertas,8,0,IeAIoEa,ea,θjeɾtas,+-++-+-
Góngora,Amarrado al duro banco,ø,ø,0,0,19,,,ø,las lágrimas y suspiros,8,0,aAiauIo,io,piɾos,-+---+-
Góngora,Amarrado al duro banco,ø,ø,0,0,20,,,ø,que me dice por sus letras;,8,0,eeIeouEa,ea,letɾas,--+---+-
Góngora,Amarrado al duro banco,ø,ø,0,0,21,,,ø,porque si es verdad que llora,8,0,oeEeAeOa,oa,ʎoɾa,--+-+-+-
Góngora,Amarrado al duro banco,ø,ø,0,0,22,,,ø,"mi captiverio en tu arena,",8,0,IaiEeaEa,ea,ɾena,+--+--+-
Góngora,Amarrado al duro banco,ø,ø,0,0,23,,,ø,bien puedes al mar del Sur,8,0,EEeaAeU,u,suɾ,++--+-+
Góngora,Amarrado al duro banco,ø,ø,0,0,24,,,ø,vencer en lucientes perlas.,8,0,eEeuEeEa,ea,peɾlas,-+--+-+-
Góngora,Amarrado al duro banco,ø,ø,0,0,25,,,ø,"Dame ya, sagrado mar,",8,0,AeAaAoA,a,maɾ,+-+-+-+
Góngora,Amarrado al duro banco,ø,ø,0,0,26,,,ø,"a mis demandas respuesta,",8,0,aieAaeEa,ea,pwesta,---+--+-
Góngora,Amarrado al duro banco,ø,ø,0,0,27,,,ø,"que bien puedes, si es verdad",8,0,eEEeEeA,a,dad,-++-+-+
Góngora,Amarrado al duro banco,ø,ø,0,0,28,,,ø,que las aguas tienen lengua;,8,0,eaAaEeEa,ea,lengwa,--+-+-+-
Góngora,Amarrado al duro banco,ø,ø,0,0,29,,,ø,"pero, pues no me respondes,",8,0,eoeOeeOe,oe,pondes,---+--+-
Góngora,Amarrado al duro banco,ø,ø,0,0,30,,,ø,"sin duda alguna que es muerta,",8,0,iUauaEEa,ea,mweɾta,-+---++-
Góngora,Amarrado al duro banco,ø,ø,0,0,31,,,ø,"aunque no lo debe ser,",8,0,aeOoEeE,e,seɾ,--+-+-+
Góngora,Amarrado al duro banco,ø,ø,0,0,32,,,ø,pues que vivo yo en su ausencia.,8,1,eeIoeaEa,ea,senθja,--+---+-
Góngora,Amarrado al duro banco,ø,ø,0,0,33,,,ø,Pues he vivido diez años,8,0,eEiIoEAo,ao,aɲos,-+-+-++-
Góngora,Amarrado al duro banco,ø,ø,0,0,34,,,ø,"sin libertad y sin ella,",8,0,iieAiEa,ea,eʎa,---+-+-
Góngora,Amarrado al duro banco,ø,ø,0,0,35,,,ø,"siempre al remo condenado,",8,0,EaEooeAo,ao,nado,+-+---+-
Góngora,Amarrado al duro banco,ø,ø,0,0,36,,,ø,a nadie matarán penas».,8,0,aAeaaAEa,ea,penas,-+---++-
Góngora,Amarrado al duro banco,ø,ø,0,0,37,,,ø,"En esto, se descubrieron",8,0,eeoeeuEo,eo,bɾjeɾon,------+-
Góngora,Amarrado al duro banco,ø,ø,0,0,38,,,ø,"de la Religión seis velas,",8,0,eaeiOEEa,ea,belas,----+++-
Góngora,Amarrado al duro banco,ø,ø,0,0,39,,,ø,"y el cómitre mandó usar,",8,0,eOieauA,a,saɾ,-+----+
Góngora,Amarrado al duro banco,ø,ø,0,0,40,,,ø,"al forzado, de su fuerza.",8,0,aoAoeuEa,ea,fweɾθa,--+---+-
