Autor,Pieza,Gen,Subg,Jornada,Parlamento,Verso,Personaje,Tipo,Sexo,Texto
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,0,-1,ACOTACIÓN,,ø,"Ha de haber tres teatros divididos el uno y los otros. En el de mano derecha sale Pales, ninfa. En el de mano izquierda sale Flora, ninfa, dejando desocupado el de en medio."
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,2,1,PALES,,X,Noche hermosa que con solo
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,2,2,PALES,,X,un lucero resplandeces
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,2,3,PALES,,X,más que el día con el sol...
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,3,4,FLORA,,F,"Noche apacible y alegre,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,3,5,FLORA,,F,"luciente honor del ocaso,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,3,6,FLORA,,F,noble injuria del oriente...
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,4,7,PALES,,X,...a cuyos soplos süaves...
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,5,8,FLORA,,F,...a cuyos suspiros leves...
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,6,9,PALES,,X,...rejuvenecen los montes.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,7,10,FLORA,,F,...los valles rejuvenecen.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,8,11,PALES,,X,"Tú, que eres alba nocturna"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,9,12,FLORA,,F,"Tú, que oscura aurora eres"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,10,13,PALES,,X,...pues alumbras con las sombras.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,11,14,FLORA,,F,...pues sin el sol amaneces.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,12,15,PALES,,X,"Tú, a quien aquesta alquería..."
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,13,16,FLORA,,F,"Tú, a quien este campo fértil..."
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,14,17,PALES,,X,...hoy toca solemnizar...
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,15,18,FLORA,,F,...hoy celebrar pertenece...
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,16,19,PALES,,X,...escucha mis dulces voces...
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,17,20,FLORA,,F,...a mis acentos atiende...
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,18,21,PALES,,X,...por amorosos...
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,19,21,FLORA,,XF,...por tiernos...
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,20,22,PALES,,X,...por amantes.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,21,22,FLORA,,XF,...por corteses.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,0,-2,ACOTACIÓN,,ø,En el tablado de en medio por lo alto de él sale la noche.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,22,23,NOCHE,,X,"¿Qué quieres, hermosa Pales?"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,22,24,NOCHE,,X,"Hermosa Flora, ¿qué quieres?"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,22,25,NOCHE,,X,Que a las voces de las dos
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,22,26,NOCHE,,X,"salgo, dejando mi albergue,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,22,27,NOCHE,,X,donde de cuantas deidades
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,22,28,NOCHE,,X,estos jardines contienen
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,22,29,NOCHE,,X,"asistida estaba, dando"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,22,30,NOCHE,,X,a la luna de mi frente
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,22,31,NOCHE,,X,"bellas guirnaldas de flores,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,22,32,NOCHE,,X,porque en mí más resplandecen
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,22,33,NOCHE,,X,que los luceros y estrellas
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,22,34,NOCHE,,X,las rosas y los claveles.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,35,PALES,,X,Yo que te llamé primero
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,36,PALES,,X,es bien que primero llegue
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,37,PALES,,X,a informarte de un enojo
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,38,PALES,,X,que a darte voces se atreve.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,39,PALES,,X,"Pales soy, deidad a cuyo"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,40,PALES,,X,rústico estudio concede
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,41,PALES,,X,Júpiter el patrocinio;
