Autor,Pieza,Gen,Subg,Jornada,Parlamento,Verso,Personaje,Tipo,Sexo,Texto
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,1,VILLANO,,M,¡Que siempre en los grandes días
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,2,VILLANO,,M,sucedan casos extraños!
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,3,VILLANO,,M,"¡oh, nunca dejara ayer"
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,4,VILLANO,,M,la paz de mi humilde campo!
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,5,VILLANO,,M,bien sé que siempre se pierde
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,6,VILLANO,,M,a los que van caminando
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,7,VILLANO,,M,de la ropa o del vestido
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,8,VILLANO,,M,por descuido por cuidado.
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,9,VILLANO,,M,Cuando en tan gran confusión
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,10,VILLANO,,M,perdiera no era milagro
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,11,VILLANO,,M,las alforjas o el capote
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,12,VILLANO,,M,"ni aun el jumento entre tantos,"
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,13,VILLANO,,M,¡mas que se me haya perdido
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,14,VILLANO,,M,mi mujer! ¡extraño caso!
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,15,VILLANO,,M,Solo en Madrid se perdiera
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,16,VILLANO,,M,una mujer de veinte años.
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,17,VILLANO,,M,ahora bien ¿qué puedo hacer
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,18,VILLANO,,M,si la busco y no la hallo?
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,19,VILLANO,,M,Cumpliré con mi conciencia
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,20,VILLANO,,M,"con tres pregones o cuatro,"
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,21,VILLANO,,M,pero si lo miro bien
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,22,VILLANO,,M,que se pierda no me espanto
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,23,VILLANO,,M,"mirando tanta grandeza,"
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,24,VILLANO,,M,"tanta variedad mirando,"
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,25,VILLANO,,M,que oigo decir que es hermosa
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,26,VILLANO,,M,más que por sí por lo vario
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,27,VILLANO,,M,"la madre naturaleza,"
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,28,VILLANO,,M,"pues, ¿por qué la estoy culpando?"
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,29,VILLANO,,M,¡oh generoso instrumento
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,30,VILLANO,,M,de varias cuerdas templado
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,31,VILLANO,,M,donde sirve de alma un rey
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,32,VILLANO,,M,"con su poderosa mano,"
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,33,VILLANO,,M,en quien tan sabios ministros
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,34,VILLANO,,M,sobre su dorado lazo
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,35,VILLANO,,M,son cuerdas en que consiste
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,36,VILLANO,,M,"la vida de sus vasallos,"
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,37,VILLANO,,M,quién supiera engrandecerte!
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,38,VILLANO,,M,Mas como rudo villano
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,39,VILLANO,,M,quiero ilustrar mi bajeza
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,40,VILLANO,,M,de pensamientos más altos:
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,41,VILLANO,,M,lo que apenas ver merezco
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,1,42,VILLANO,,M,temerariamente alabo.
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,0,-1,ACOTACIÓN,,ø,Sale la labradora.
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,2,43,LABRADORA,,F,¡alá se tope con él!
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,2,44,LABRADORA,,F,"¿adónde os quedasteis, Sancho?"
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,3,45,VILLANO,,M,¡Con buen achaque venís!
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,3,46,VILLANO,,M,¿no os dije que de mi lado
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,3,47,VILLANO,,M,no os apartásedes?
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,4,47,LABRADORA,,MF,vos
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,4,48,LABRADORA,,F,tuvistes la culpa cuando
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,4,49,LABRADORA,,F,"me dejastes, porque en fin"
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,4,50,LABRADORA,,F,estábades obligado
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,4,51,LABRADORA,,F,por cortesía o por fuerza
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,4,52,LABRADORA,,F,y aun temor a no apartaros
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,4,53,LABRADORA,,F,solo un instante de mí.
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,5,54,VILLANO,,M,ya estaba determinado
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,5,55,VILLANO,,M,"a pregonaros, ¿qué habéis"
Lope,Entre un villano y una Labradora (loa),Loa,ø,0,5,56,VILLANO,,M,hecho?
