Autor,Pieza,Gen,Subg,Jornada,Parlamento,Verso,Personaje,Tipo,Sexo,Texto
Góngora,Amarrado al duro banco,ø,ø,0,0,1,,,ø,Amarrado al duro banco
Góngora,Amarrado al duro banco,ø,ø,0,0,2,,,ø,"de una galera turquesca,"
Góngora,Amarrado al duro banco,ø,ø,0,0,3,,,ø,ambas manos en el remo
Góngora,Amarrado al duro banco,ø,ø,0,0,4,,,ø,"y ambos ojos en la tierra,"
Góngora,Amarrado al duro banco,ø,ø,0,0,5,,,ø,un forzado de Dragut
Góngora,Amarrado al duro banco,ø,ø,0,0,6,,,ø,en la playa de Marbella
Góngora,Amarrado al duro banco,ø,ø,0,0,7,,,ø,"se quejaba, al ronco son"
Góngora,Amarrado al duro banco,ø,ø,0,0,8,,,ø,del remo y de la cadena:
Góngora,Amarrado al duro banco,ø,ø,0,0,9,,,ø,"«¡Oh sagrado mar de España,"
Góngora,Amarrado al duro banco,ø,ø,0,0,10,,,ø,"famosa playa serena,"
Góngora,Amarrado al duro banco,ø,ø,0,0,11,,,ø,teatro donde se han hecho
Góngora,Amarrado al duro banco,ø,ø,0,0,12,,,ø,cien mil navales tragedias!:
Góngora,Amarrado al duro banco,ø,ø,0,0,13,,,ø,pues eres tú el mismo mar
Góngora,Amarrado al duro banco,ø,ø,0,0,14,,,ø,que con tus crecientes besas
Góngora,Amarrado al duro banco,ø,ø,0,0,15,,,ø,"las murallas de mi patria,"
Góngora,Amarrado al duro banco,ø,ø,0,0,16,,,ø,"coronadas y soberbias,"
Góngora,Amarrado al duro banco,ø,ø,0,0,17,,,ø,"tráeme nuevas de mi esposa,"
Góngora,Amarrado al duro banco,ø,ø,0,0,18,,,ø,y dime si han sido ciertas
Góngora,Amarrado al duro banco,ø,ø,0,0,19,,,ø,las lágrimas y suspiros
Góngora,Amarrado al duro banco,ø,ø,0,0,20,,,ø,que me dice por sus letras;
Góngora,Amarrado al duro banco,ø,ø,0,0,21,,,ø,porque si es verdad que llora
Góngora,Amarrado al duro banco,ø,ø,0,0,22,,,ø,"mi captiverio en tu arena,"
Góngora,Amarrado al duro banco,ø,ø,0,0,23,,,ø,bien puedes al mar del Sur
Góngora,Amarrado al duro banco,ø,ø,0,0,24,,,ø,vencer en lucientes perlas.
Góngora,Amarrado al duro banco,ø,ø,0,0,25,,,ø,"Dame ya, sagrado mar,"
Góngora,Amarrado al duro banco,ø,ø,0,0,26,,,ø,"a mis demandas respuesta,"
Góngora,Amarrado al duro banco,ø,ø,0,0,27,,,ø,"que bien puedes, si es verdad"
Góngora,Amarrado al duro banco,ø,ø,0,0,28,,,ø,que las aguas tienen lengua;
Góngora,Amarrado al duro banco,ø,ø,0,0,29,,,ø,"pero, pues no me respondes,"
Góngora,Amarrado al duro banco,ø,ø,0,0,30,,,ø,"sin duda alguna que es muerta,"
Góngora,Amarrado al duro banco,ø,ø,0,0,31,,,ø,"aunque no lo debe ser,"
Góngora,Amarrado al duro banco,ø,ø,0,0,32,,,ø,pues que vivo yo en su ausencia.
Góngora,Amarrado al duro banco,ø,ø,0,0,33,,,ø,Pues he vivido diez años
Góngora,Amarrado al duro banco,ø,ø,0,0,34,,,ø,"sin libertad y sin ella,"
Góngora,Amarrado al duro banco,ø,ø,0,0,35,,,ø,"siempre al remo condenado,"
Góngora,Amarrado al duro banco,ø,ø,0,0,36,,,ø,a nadie matarán penas».
Góngora,Amarrado al duro banco,ø,ø,0,0,37,,,ø,"En esto, se descubrieron"
Góngora,Amarrado al duro banco,ø,ø,0,0,38,,,ø,"de la Religión seis velas,"
Góngora,Amarrado al duro banco,ø,ø,0,0,39,,,ø,"y el cómitre mandó usar,"
Góngora,Amarrado al duro banco,ø,ø,0,0,40,,,ø,"al forzado, de su fuerza."
