Autor,Pieza,Gen,Subg,Jornada,Parlamento,Verso,Personaje,Tipo,Sexo,Texto,Slbs,Ambiguo,NuclVoc,Rima,Consonancia,Ritmo
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,2,1,PALES,,X,Noche hermosa que con solo,8,0,OeOaeoOo,oo,solo,+-+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,2,2,PALES,,X,un lucero resplandeces,8,0,UuEoeaEe,ee,deθes,+-+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,2,3,PALES,,X,más que el día con el sol...,8,1,AeIaoeO,o,sol,+-+---+
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,3,4,FLORA,,F,"Noche apacible y alegre,",8,1,OaaIeaEe,ee,legɾe,+--+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,3,5,FLORA,,F,"luciente honor del ocaso,",8,0,uEoOeoAo,ao,kaso,-+-+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,3,6,FLORA,,F,noble injuria del oriente...,8,0,OiUaeoEe,ee,ɾjente,+-+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,4,7,PALES,,X,...a cuyos soplos süaves...,8,0,auoOouAe,ae,abes,---+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,5,8,FLORA,,F,...a cuyos suspiros leves...,8,0,auouIoEe,ee,lebes,----+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,6,9,PALES,,X,...rejuvenecen los montes.,8,0,eueEeoOe,oe,montes,---+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,7,10,FLORA,,F,...los valles rejuvenecen.,8,0,oAeeueEe,ee,neθen,-+----+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,8,11,PALES,,X,"Tú, que eres alba nocturna",8,0,UEeAaoUa,ua,tuɾna,++-+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,9,12,FLORA,,F,"Tú, que oscura aurora eres",8,1,UoUaOaEe,ee,eɾes,+-+-+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,10,13,PALES,,X,...pues alumbras con las sombras.,8,0,eaUaoaOa,oa,sombɾas,--+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,11,14,FLORA,,F,...pues sin el sol amaneces.,8,0,eieOaaEe,ee,neθes,---+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,12,15,PALES,,X,"Tú, a quien aquesta alquería...",8,1,UeaeaeIa,ia,ɾia,+-----+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,13,16,FLORA,,F,"Tú, a quien este campo fértil...",8,0,UeEeAoEi,ei,feɾtil,+-+-+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,14,17,PALES,,X,...hoy toca solemnizar...,8,0,OOaoeiA,a,θaɾ,++----+
