Author,Title,Genre,Subgenre,Act,Speech,Verse,Character,Type,Gender,Text,Syllables,Ambiguous,Nuclei,Assonance,Consonance,Rhythm
Lope,Auto del pan y el palo,Auto sacramental,ø,0,1,1,BUEN AÑO,,M,"Espérate, Regocijo,",8,0,eEaeeoIo,io,θixo,-+----+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,1,2,BUEN AÑO,,M,que el viento en las plantas llevas.,8,0,eEeaAaEa,ea,ʎebas,-+--+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,2,3,REGOCIJO,,M,Engéndranme buenas nuevas,8,0,eEaeEaEa,ea,nwebas,-+--+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,2,4,REGOCIJO,,M,si sabes que soy su hijo.,8,0,iAeeOuIo,io,ixo,-+--+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,2,5,REGOCIJO,,M,¿Qué me mandas esperar?,8,0,EeAaeeA,a,ɾaɾ,+-+---+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,2,6,REGOCIJO,,M,"Mi padre, el común placer,",8,0,IAeoUaE,e,θeɾ,++--+-+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,2,7,REGOCIJO,,M,me ha mandado revolver,8,0,AaAoeoE,e,beɾ,+-+---+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,2,8,REGOCIJO,,M,con fiestas este lugar.,8,0,oEaEeuA,a,gaɾ,-+-+--+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,3,9,BUEN AÑO,,M,¿Y será malo el Buen Año,8,0,ieAAeEAo,ao,aɲo,--++-++-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,4,10,BUEN AÑO y REGOCIJO,,M,"para acompañarte? No,",8,0,aaoaAeO,o,no,----+-+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,4,11,REGOCIJO,,M,que estoy bien contigo yo,8,0,eOEoioO,o,yo,-++---+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,4,12,REGOCIJO,,M,cuando no tratas engaño.,8,0,aoOAaeAo,ao,gaɲo,--++--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,5,13,BUEN AÑO,,M,Formome el sol con sus rayos.,8,0,oOeOouAo,ao,rayos,-+-+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,7,14,REGOCIJO y BUEN AÑO,,M,¿Tú eres el Buen Año? Sí.,8,0,EeeEAoI,i,si,+--++-+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,8,15,REGOCIJO,,M,"¡Oh, que habrá llovido en ti",8,0,OaAoIeI,i,ti,+-+-+-+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,8,16,REGOCIJO,,M,los abriles y los mayos!,8,0,oaIeioAo,ao,mayos,--+---+-
