Autor,Pieza,Gen,Subg,Jornada,Parlamento,Verso,Personaje,Tipo,Sexo,Texto,Slbs,Ambiguo,NuclVoc,Rima,Consonancia,Ritmo
Calderón,LOA PARA LA COMEDIA DE LOS TRES MAYORES PRODIGIOS,Loa,ø,0,21,22,PALES y FLORA,,XF,...por amantes. ...por corteses.,4,0,oaAe,ae,mantes,--+-
Calderón,LOA PARA LA COMEDIA DE LOS TRES MAYORES PRODIGIOS,Loa,ø,0,40,135,HÉRCULES,,X,Dejadme dar la muerte.,7,0,eAeAaEe,ee,mweɾte,-+-+-+-
Calderón,LOA PARA LA COMEDIA DE LOS TRES MAYORES PRODIGIOS,Loa,ø,0,45,137,HÉRCULES,,X,"Dejad que mi despecho,",7,0,eAeieEo,eo,petʃo,-+---+-
Calderón,LOA PARA LA COMEDIA DE LOS TRES MAYORES PRODIGIOS,Loa,ø,0,45,141,HÉRCULES,,X,hoy la vida me quite,7,0,OaIaeIe,ie,kite,+-+--+-
Calderón,LOA PARA LA COMEDIA DE LOS TRES MAYORES PRODIGIOS,Loa,ø,0,45,143,HÉRCULES,,X,porque a tanta estatura,7,0,oaAeaUa,ua,tuɾa,--+--+-
Calderón,LOA PARA LA COMEDIA DE LOS TRES MAYORES PRODIGIOS,Loa,ø,0,46,145,TESEO,,M,"Hércules valeroso,",7,0,EueaeOo,oo,ɾoso,+----+-
Calderón,LOA PARA LA COMEDIA DE LOS TRES MAYORES PRODIGIOS,Loa,ø,0,46,147,TESEO,,M,con heroicas vitorias,7,0,oeOaiOa,oa,toɾjas,--+--+-
Calderón,LOA PARA LA COMEDIA DE LOS TRES MAYORES PRODIGIOS,Loa,ø,0,46,149,TESEO,,M,¿hablas tan impaciente,7,0,AaAiaEe,ee,θjente,+-+--+-
Calderón,LOA PARA LA COMEDIA DE LOS TRES MAYORES PRODIGIOS,Loa,ø,0,47,155,JASÓN,,X,¿hoy te muestras sin seso,7,0,OeEaiEo,eo,seso,+-+--+-
Calderón,LOA PARA LA COMEDIA DE LOS TRES MAYORES PRODIGIOS,Loa,ø,0,48,157,TESEO,,M,La muerte quieres darte;,7,0,aEeEeAe,ae,daɾte,-+-+-+-
Calderón,LOA PARA LA COMEDIA DE LOS TRES MAYORES PRODIGIOS,Loa,ø,0,49,165,JASÓN,,X,"que salgan con su intento,",7,0,eAaoiEo,eo,tento,-+---+-
Calderón,LOA PARA LA COMEDIA DE LOS TRES MAYORES PRODIGIOS,Loa,ø,0,50,169,HÉRCULES,,X,"Es engaño, que un hombre",7,0,EeAoUOe,oe,ombɾe,+-+-++-
Calderón,LOA PARA LA COMEDIA DE LOS TRES MAYORES PRODIGIOS,Loa,ø,0,51,175,JASÓN,,X,La grande causa dudo,7,0,aAeAaUo,uo,dudo,-+-+-+-
Calderón,LOA PARA LA COMEDIA DE LOS TRES MAYORES PRODIGIOS,Loa,ø,0,52,177,TESEO,,M,Que haya ocasión no creo,7,1,AoaOOEo,eo,kɾeo,+--+++-
Calderón,LOA PARA LA COMEDIA DE LOS TRES MAYORES PRODIGIOS,Loa,ø,0,53,181,HÉRCULES,,X,"y ¡ay, amigos leales!,",7,1,AaIoeAe,ae,ales,+-+--+-
Calderón,LOA PARA LA COMEDIA DE LOS TRES MAYORES PRODIGIOS,Loa,ø,0,53,185,HÉRCULES,,X,mi valor y mi vida,7,0,IaOiIa,ia,bida,+-+-+-
Calderón,LOA PARA LA COMEDIA DE LOS TRES MAYORES PRODIGIOS,Loa,ø,0,54,187,HÉRCULES y JASÓN,,X,fuera. Ya que has llamado,7,1,EAeAaAo,ao,mado,++-+-+-
Calderón,LOA PARA LA COMEDIA DE LOS TRES MAYORES PRODIGIOS,Loa,ø,0,54,189,JASÓN,,X,haz a los dos testigos.,7,0,AaoOeIo,io,tigos,+--+-+-
Calderón,LOA PARA LA COMEDIA DE LOS TRES MAYORES PRODIGIOS,Loa,ø,0,55,193,HÉRCULES,,X,en solo uno fundimos,7,0,eOuouIo,io,dimos,-+---+-
Calderón,LOA PARA LA COMEDIA DE LOS TRES MAYORES PRODIGIOS,Loa,ø,0,55,197,HÉRCULES,,X,Ya sabéis que soy aquel,7,0,AaEeOaE,e,kel,+-+-+-+
